# epsilon     r     avg_deviation
0.0279     11     173.527
0.028     11     173.527
0.0281     11     173.527
0.0282     11     173.527
0.0283     11     173.527
0.0284     11     173.527
0.0285     11     173.527
0.0286     11     173.527
0.0287     11     173.527
0.0288     11     173.527
0.0289     11     173.527
0.029     11     173.527
0.0291     11     173.527
0.0292     11     173.527
0.0293     11     173.527
0.0294     11     173.527
0.0295     11     173.527
0.0296     11     173.527
0.0297     11     173.527
0.0298     11     173.527
0.0299     11     173.527
0.03     11     173.527
0.0301     11     173.527
0.0302     11     173.527
0.0303     11     173.527
0.0304     11     173.527
0.0305     11     173.527
0.0306     11     173.527
0.0307     11     173.527
0.0308     11     173.527
0.0309     11     173.527
0.031     11     173.527
0.0311     11     173.527
0.0312     11     173.527
0.0313     10     347.653
0.0314     10     347.653
0.0315     10     347.653
0.0316     10     347.653
0.0317     10     347.653
0.0318     10     347.653
0.0319     10     347.653
0.032     10     347.653
0.0321     10     347.653
0.0322     10     347.653
0.0323     10     347.653
0.0324     10     347.653
0.0325     10     347.653
0.0326     10     347.653
0.0327     10     347.653
0.0328     10     347.653
0.0329     10     347.653
0.033     10     347.653
0.0331     10     347.653
0.0332     10     347.653
0.0333     10     347.653
0.0334     10     347.653
0.0335     10     347.653
0.0336     10     347.653
0.0337     10     347.653
0.0338     10     347.653
0.0339     10     347.653
0.034     10     347.653
0.0341     10     347.653
0.0342     10     347.653
0.0343     10     347.653
0.0344     10     347.653
0.0345     10     347.653
0.0346     10     347.653
0.0347     10     347.653
0.0348     10     347.653
0.0349     10     347.653
0.035     10     347.653
0.0351     10     347.653
0.0352     10     347.653
0.0353     10     347.653
0.0354     10     347.653
0.0355     10     347.653
0.0356     10     347.653
0.0357     10     347.653
0.0358     10     347.653
0.0359     10     347.653
0.036     10     347.653
0.0361     10     347.653
0.0362     10     347.653
0.0363     10     347.653
0.0364     10     347.653
0.0365     10     347.653
0.0366     10     347.653
0.0367     10     347.653
0.0368     10     347.653
0.0369     10     347.653
0.037     10     347.653
0.0371     10     347.653
0.0372     10     347.653
0.0373     10     347.653
0.0374     10     347.653
0.0375     10     347.653
0.0376     10     347.653
0.0377     10     347.653
0.0378     10     347.653
0.0379     10     347.653
0.038     10     347.653
0.0381     10     347.653
0.0382     10     347.653
0.0383     10     347.653
0.0384     10     347.653
0.0385     10     347.653
0.0386     10     347.653
0.0387     10     347.653
0.0388     10     347.653
0.0389     10     347.653
0.039     10     347.653
0.0391     10     347.653
0.0392     10     347.653
0.0393     10     347.653
0.0394     10     347.653
0.0395     10     347.653
0.0396     10     347.653
0.0397     10     347.653
0.0398     10     347.653
0.0399     10     347.653
0.04     10     347.653
0.0401     10     347.653
0.0402     10     347.653
0.0403     10     347.653
0.0404     10     347.653
0.0405     10     347.653
0.0406     10     347.653
0.0407     10     347.653
0.0408     10     347.653
0.0409     10     347.653
0.041     10     347.653
0.0411     10     347.653
0.0412     10     347.653
0.0413     10     347.653
0.0414     10     347.653
0.0415     10     347.653
0.0416     10     347.653
0.0417     10     347.653
0.0418     10     347.653
0.0419     10     347.653
0.042     10     347.653
0.0421     10     347.653
0.0422     10     347.653
0.0423     10     347.653
0.0424     10     347.653
0.0425     10     347.653
0.0426     10     347.653
0.0427     10     347.653
0.0428     10     347.653
0.0429     10     347.653
0.043     10     347.653
0.0431     10     347.653
0.0432     10     347.653
0.0433     10     347.653
0.0434     10     347.653
0.0435     10     347.653
0.0436     10     347.653
0.0437     10     347.653
0.0438     10     347.653
0.0439     10     347.653
0.044     10     347.653
0.0441     10     347.653
0.0442     10     347.653
0.0443     10     347.653
0.0444     10     347.653
0.0445     10     347.653
0.0446     10     347.653
0.0447     10     347.653
0.0448     10     347.653
0.0449     10     347.653
0.045     10     347.653
0.0451     10     347.653
0.0452     10     347.653
0.0453     10     347.653
0.0454     10     347.653
0.0455     10     347.653
0.0456     10     347.653
0.0457     10     347.653
0.0458     10     347.653
0.0459     10     347.653
0.046     10     347.653
0.0461     10     347.653
0.0462     10     347.653
0.0463     10     347.653
0.0464     10     347.653
0.0465     10     347.653
0.0466     10     347.653
0.0467     10     347.653
0.0468     10     347.653
0.0469     10     347.653
0.047     10     347.653
0.0471     10     347.653
0.0472     10     347.653
0.0473     10     347.653
0.0474     10     347.653
0.0475     10     347.653
0.0476     10     347.653
0.0477     10     347.653
0.0478     10     347.653
0.0479     10     347.653
0.048     10     347.653
0.0481     10     347.653
0.0482     10     347.653
0.0483     10     347.653
0.0484     10     347.653
0.0485     10     347.653
0.0486     10     347.653
0.0487     10     347.653
0.0488     10     347.653
0.0489     10     347.653
0.049     10     347.653
0.0491     10     347.653
0.0492     10     347.653
0.0493     10     347.653
0.0494     10     347.653
0.0495     10     347.653
0.0496     10     347.653
0.0497     10     347.653
0.0498     10     347.653
0.0499     10     347.653
0.05     10     347.653
0.0501     10     347.653
0.0502     10     347.653
0.0503     10     347.653
0.0504     10     347.653
0.0505     10     347.653
0.0506     10     347.653
0.0507     10     347.653
0.0508     10     347.653
0.0509     10     347.653
0.051     10     347.653
0.0511     10     347.653
0.0512     10     347.653
0.0513     10     347.653
0.0514     10     347.653
0.0515     10     347.653
0.0516     10     347.653
0.0517     10     347.653
0.0518     10     347.653
0.0519     10     347.653
0.052     10     347.653
0.0521     10     347.653
0.0522     10     347.653
0.0523     10     347.653
0.0524     10     347.653
0.0525     10     347.653
0.0526     10     347.653
0.0527     10     347.653
0.0528     10     347.653
0.0529     10     347.653
0.053     10     347.653
0.0531     10     347.653
0.0532     10     347.653
0.0533     10     347.653
0.0534     10     347.653
0.0535     10     347.653
0.0536     10     347.653
0.0537     10     347.653
0.0538     10     347.653
0.0539     10     347.653
0.054     10     347.653
0.0541     10     347.653
0.0542     10     347.653
0.0543     10     347.653
0.0544     10     347.653
0.0545     10     347.653
0.0546     10     347.653
0.0547     10     347.653
0.0548     10     347.653
0.0549     10     347.653
0.055     10     347.653
0.0551     10     347.653
0.0552     10     347.653
0.0553     10     347.653
0.0554     10     347.653
0.0555     10     347.653
0.0556     10     347.653
0.0557     10     347.653
0.0558     10     347.653
0.0559     10     347.653
0.056     10     347.653
0.0561     10     347.653
0.0562     10     347.653
0.0563     10     347.653
0.0564     10     347.653
0.0565     10     347.653
0.0566     10     347.653
0.0567     10     347.653
0.0568     10     347.653
0.0569     10     347.653
0.057     10     347.653
0.0571     10     347.653
0.0572     10     347.653
0.0573     10     347.653
0.0574     10     347.653
0.0575     10     347.653
0.0576     10     347.653
0.0577     10     347.653
0.0578     10     347.653
0.0579     10     347.653
0.058     10     347.653
0.0581     10     347.653
0.0582     10     347.653
0.0583     10     347.653
0.0584     10     347.653
0.0585     10     347.653
0.0586     10     347.653
0.0587     10     347.653
0.0588     10     347.653
0.0589     10     347.653
0.059     10     347.653
0.0591     10     347.653
0.0592     10     347.653
0.0593     10     347.653
0.0594     10     347.653
0.0595     10     347.653
0.0596     10     347.653
0.0597     10     347.653
0.0598     10     347.653
0.0599     10     347.653
0.06     10     347.653
